조절변수,주효과변수,계수,오즈비(OR),95%신뢰구간,p값,유의도,집합검정_LR_p값
전문지도,위험성평가수준,-0.1115,0.8945,"[0.779, 1.027]",0.1127,,0.1375
전문지도,교육훈련도움,0.0613,1.0632,"[0.898, 1.259]",0.4766,,0.1375
전문지도,정리정돈상태,0.1454,1.1565,"[0.983, 1.360]",0.0788,,0.1375
전문지도,작업중지권,0.0274,1.0278,"[0.882, 1.197]",0.7248,,0.1375
전문지도,작업반장기여,-0.1428,0.8669,"[0.741, 1.014]",0.0749,,0.1375
고용노동부감독,위험성평가수준,-0.0931,0.9111,"[0.786, 1.056]",0.2173,,0.4148
고용노동부감독,교육훈련도움,0.0418,1.0427,"[0.884, 1.230]",0.6202,,0.4148
고용노동부감독,정리정돈상태,0.1266,1.1349,"[0.962, 1.338]",0.1324,,0.4148
고용노동부감독,작업중지권,-0.0182,0.9819,"[0.839, 1.149]",0.8205,,0.4148
고용노동부감독,작업반장기여,-0.1085,0.8972,"[0.760, 1.059]",0.1994,,0.4148
안전보건공단지원,위험성평가수준,0.086,1.0898,"[0.960, 1.236]",0.1821,,0.5743
안전보건공단지원,교육훈련도움,0.0202,1.0204,"[0.856, 1.217]",0.8219,,0.5743
안전보건공단지원,정리정돈상태,0.0825,1.086,"[0.912, 1.294]",0.3552,,0.5743
안전보건공단지원,작업중지권,-0.0367,0.964,"[0.811, 1.146]",0.6773,,0.5743
안전보건공단지원,작업반장기여,0.0088,1.0088,"[0.829, 1.227]",0.9299,,0.5743
